ActivityKey,Type
30196,Certification
7466,Assessment
24716,Certification
1022,Track
52818,Exam
51678,Exam
48528,Exam
29186,Exam
4216,Assessment
19286,Assessment
40346,Exam
15502,Track
6152,Track
40488,Exam
105319,Course
118909,Course
122279,Course
126299,Course
165719,Course
177869,Course
29226,Certification
6046,Assessment
23976,Assessment
39486,Exam
187919,Course
189009,Course
29642,Track
12126,Assessment
30426,Certification
7516,Assessment
24736,Certification
52608,Exam
2122,Track
512,Track
41118,Exam
29256,Exam
4256,Assessment
19296,Assessment
40436,Exam
16092,Track
42108,Exam
44628,Exam
105749,Course
108709,Course
123689,Course
123819,Course
170219,Course
175059,Course
29386,Exam
6166,Certification
24056,Assessment
39526,Exam
186459,Course
188319,Course
8472,Track
12146,Assessment
30466,Exam
7566,Certification
24746,Certification
3592,Track
372,Track
29502,Track
86078,Exam
29406,Exam
4416,Assessment
19346,Assessment
40486,Exam
29102,Track
44398,Exam
52638,Exam
105419,Course
110449,Course
123949,Course
137449,Course
169959,Course
177829,Course
29506,Certification
6176,Assessment
24066,Assessment
39546,Exam
187509,Course
189079,Course
16012,Track
12216,Assessment
30476,Certification
7736,Assessment
24916,Certification
458,Exam
53238,Exam
85898,Exam
85348,Exam
29466,Exam
4506,Certification
19356,Assessment
40566,Exam
88048,Exam
40878,Exam
928,Exam
105689,Course
108759,Course
122429,Course
138759,Course
165869,Course
177179,Course
29586,Certification
6326,Assessment
24146,Exam
39566,Exam
187539,Course
188339,Course
52218,Exam
12236,Assessment
30596,Exam
7766,Assessment
25026,Certification
812,Track
46518,Exam
6632,Track
268,Exam
29486,Certification
4586,Assessment
19406,Assessment
40666,Exam
85798,Exam
15722,Track
40058,Exam
106669,Course
119199,Course
122809,Course
124849,Course
171289,Course
175159,Course
29616,Certification
6386,Assessment
24226,Exam
39626,Exam
186519,Course
189029,Course
10252,Track
12246,Assessment
30666,Exam
7776,Assessment
25036,Certification
44988,Exam
43748,Exam
6872,Track
50628,Exam
29496,Exam
4606,Assessment
19426,Assessment
40736,Exam
40828,Exam
14612,Track
45248,Exam
105809,Course
118719,Course
120649,Course
138139,Course
160239,Course
176629,Course
29626,Certification
6446,Assessment
24286,Exam
39766,Exam
187329,Course
188469,Course
12382,Track
12416,Assessment
30786,Certification
7856,Assessment
25116,Certification
43468,Exam
1898158,Exam
8892,Track
1807858,Exam
29516,Exam
4616,Assessment
19466,Assessment
40866,Exam
5782,Track
12512,Track
50038,Exam
104969,Course
109829,Course
123909,Course
138739,Course
170039,Course
173429,Course
29716,Certification
6456,Assessment
24316,Exam
39796,Exam
184959,Course
189219,Course
6592,Track
12446,Assessment
30826,Certification
7956,Assessment
25156,Certification
28302,Track
86858,Exam
29152,Track
486818,Exam
29636,Exam
4696,Certification
19486,Assessment
41106,Exam
86768,Exam
29142,Track
45508,Exam
106549,Course
118739,Course
124899,Course
125359,Course
173189,Course
176039,Course
29726,Exam
6466,Assessment
24346,Exam
39806,Exam
186719,Course
188489,Course
29232,Track
12706,Assessment
30896,Exam
8016,Assessment
25186,Certification
1532,Track
52838,Exam
52428,Exam
48918,Exam
29656,Certification
4706,Exam
19516,Assessment
41146,Exam
15992,Track
6962,Track
40988,Exam
105459,Course
119089,Course
122509,Course
126829,Course
167289,Course
177879,Course
29756,Certification
6636,Certification
24456,Exam
39816,Exam
188049,Course
189099,Course
30572,Track
12756,Certification
30906,Certification
8156,Assessment
25246,Certification
52628,Exam
4312,Track
902,Track
41288,Exam
29686,Exam
4746,Assessment
19566,Assessment
41276,Exam
26452,Track
42278,Exam
30852,Track
105769,Course
108819,Course
123759,Course
124309,Course
172809,Course
175079,Course
29766,Certification
6676,Assessment
24526,Exam
39836,Exam
186709,Course
188639,Course
5622,Track
12766,Certification
30966,Exam
8196,Assessment
25276,Certification
28922,Track
542,Track
29698,Exam
54338,Exam
29826,Exam
4756,Assessment
19616,Assessment
41306,Exam
29292,Track
45218,Exam
86098,Exam
105759,Course
111599,Course
124269,Course
137779,Course
170069,Course
177849,Course
29786,Exam
6716,Certification
24546,Exam
39886,Exam
187599,Course
189249,Course
26182,Track
12776,Certification
30976,Exam
8216,Assessment
25316,Certification
818,Exam
53928,Exam
86068,Exam
86168,Exam
29886,Certification
4796,Certification
16936,Assessment
41336,Exam
486808,Exam
40888,Exam
1192,Track
